iter	Passed	Remaining
990	32150	291
991	32182	259
992	32205	227
993	32233	194
994	32261	162
995	32286	129
996	32319	97
997	32364	64
998	32394	32
999	32419	0
